Date,State Name,county Name,State Code,County Code,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
2019-06-11,California,Los Angeles,6,37,172,Unhealthy,Ozone,06-037-0016,17
2019-06-12,California,Los Angeles,6,37,200,Unhealthy,Ozone,06-037-6012,15
2019-06-13,California,Los Angeles,6,37,71,Moderate,Ozone,06-037-6012,15
2019-06-14,California,Los Angeles,6,37,64,Moderate,Ozone,06-037-6012,17
2019-06-15,California,Los Angeles,6,37,100,Moderate,Ozone,06-037-6012,15
2019-06-16,California,Los Angeles,6,37,87,Moderate,Ozone,06-037-6012,15
2019-06-17,California,Los Angeles,6,37,71,Moderate,Ozone,06-037-9033,17
2019-06-18,California,Los Angeles,6,37,74,Moderate,Ozone,06-037-9033,15
2019-06-19,California,Los Angeles,6,37,105,Unhealthy for Sensitive Groups,Ozone,06-037-6012,15
2019-06-20,California,Los Angeles,6,37,61,Moderate,Ozone,06-037-9033,17
2019-06-21,California,Los Angeles,6,37,43,Good,Ozone,06-037-9033,15
2019-06-22,California,Los Angeles,6,37,51,Moderate,Ozone,06-037-6012,15
2019-06-23,California,Los Angeles,6,37,97,Moderate,Ozone,06-037-6012,17
2019-06-24,California,Los Angeles,6,37,90,Moderate,Ozone,06-037-9033,15
2019-06-25,California,Los Angeles,6,37,87,Moderate,Ozone,06-037-9033,15
2019-06-26,California,Los Angeles,6,37,71,Moderate,Ozone,06-037-6012,16
2019-06-27,California,Los Angeles,6,37,105,Unhealthy for Sensitive Groups,Ozone,06-037-0016,15
2019-06-28,California,Los Angeles,6,37,112,Unhealthy for Sensitive Groups,Ozone,06-037-0016,15
2019-06-29,California,Los Angeles,6,37,112,Unhealthy for Sensitive Groups,Ozone,06-037-0016,17
2019-06-30,California,Los Angeles,6,37,122,Unhealthy for Sensitive Groups,Ozone,06-037-0016,15
2019-07-01,California,Los Angeles,6,37,115,Unhealthy for Sensitive Groups,Ozone,06-037-6012,15
