Date,AQI
2015-07-10,39.8
2015-07-11,57.2
2015-07-12,64.4
2015-07-13,47.8
2015-07-14,46.0
2015-07-15,43.2
2015-07-16,39.6
2015-07-17,42.6
2015-07-18,41.6
2015-07-19,87.8
2015-07-20,66.8
2015-07-21,53.8
2015-07-22,30.4
2015-07-23,37.0
2015-07-24,49.8
2015-07-25,52.6
2015-07-26,54.6
2015-07-27,43.0
2015-07-28,83.2
2015-07-29,89.4
2015-07-30,48.4
2015-07-31,35.6
2015-08-01,53.6
2015-08-02,48.8
2015-08-03,65.2
2015-08-04,59.0
2015-08-05,48.0
2015-08-06,34.8
2015-08-07,35.0
2015-08-08,32.2
2015-08-09,31.0
2015-08-10,25.4
2015-08-11,27.8
2015-08-12,31.0
2015-08-13,35.4
2015-08-14,59.2
2015-08-15,102.4
2015-08-16,92.6
2015-08-17,86.4
2015-08-18,44.2
2015-08-19,26.4
2015-08-20,19.4
2015-08-21,47.6
2015-08-22,47.0
2015-08-23,33.0
2015-08-24,66.4
2015-08-25,66.2
2015-08-26,40.4
2015-08-27,28.8
2015-08-28,34.6
2015-08-29,69.4
2015-08-30,72.8
2015-08-31,68.4
2015-09-01,69.8
2015-09-02,74.4
2015-09-03,99.2
2015-09-04,61.2
2015-09-05,25.6
2015-09-06,34.4
2015-09-07,54.8
2015-09-08,67.0
2015-09-09,32.2
2015-09-10,27.2
2015-09-11,31.2
2015-09-12,34.6
2015-09-13,24.6
2015-09-14,23.8
2015-09-15,49.8
2015-09-16,70.2
2015-09-17,118.0
2015-09-18,85.4
2015-09-19,37.2
2015-09-20,24.6
2015-09-21,28.4
2015-09-22,25.6
2015-09-23,36.2
2015-09-24,40.6
2015-09-25,24.4
2015-09-26,27.0
2015-09-27,26.8
2015-09-28,27.0
2015-09-29,27.2
2015-09-30,19.0
2015-10-01,15.0
2015-10-02,14.4
2015-10-03,17.4
2015-10-04,25.4
2015-10-05,24.0
2015-10-06,33.4
2015-10-07,27.8
2015-10-08,33.6
2015-10-09,38.6
2015-10-10,28.2
2015-10-11,31.6
2015-10-12,42.6
2015-10-13,37.2
2015-10-14,22.0
2015-10-15,23.8
2015-10-16,28.0
2015-10-17,20.0
2015-10-18,22.2
