Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID
County,2019-02-13,6.0,CA,6037.0,Los Angeles County,1892581.0,8182049.0,34436959.0,9680315.0,8411614.0,4076705.0,5069385.0,4988250.0,1584278.0,373270.0,156769.0,53505.0,42868.0,06-06037-20190213
County,2019-02-14,6.0,CA,6037.0,Los Angeles County,1875502.0,8199128.0,34356234.0,9619257.0,8456168.0,4102308.0,5105404.0,4893993.0,1545193.0,369769.0,163958.0,55493.0,44691.0,06-06037-20190214
County,2019-02-15,6.0,CA,6037.0,Los Angeles County,1856593.0,8218037.0,34597650.0,9446583.0,8356576.0,4158088.0,5221045.0,5072310.0,1640160.0,410374.0,190018.0,57195.0,45301.0,06-06037-20190215
County,2019-02-16,6.0,CA,6037.0,Los Angeles County,1925513.0,8149117.0,35209637.0,9881463.0,8658539.0,4243293.0,5169013.0,4867907.0,1626266.0,457026.0,205305.0,58503.0,42322.0,06-06037-20190216
County,2019-02-17,6.0,CA,6037.0,Los Angeles County,2107524.0,7967106.0,30614294.0,8393132.0,7759314.0,3739222.0,4573247.0,4151820.0,1337515.0,399339.0,177880.0,46107.0,36718.0,06-06037-20190217
County,2019-02-18,6.0,CA,6037.0,Los Angeles County,2065488.0,8009142.0,31709856.0,8725830.0,7876666.0,3804471.0,4725240.0,4498972.0,1445637.0,380547.0,165838.0,47458.0,39197.0,06-06037-20190218
County,2019-02-19,6.0,CA,6037.0,Los Angeles County,1991784.0,8082846.0,33602128.0,9476131.0,8227868.0,3966712.0,5132578.0,4790865.0,1457165.0,331303.0,134804.0,46804.0,37898.0,06-06037-20190219
County,2019-02-20,6.0,CA,6037.0,Los Angeles County,1973611.0,8101019.0,33990391.0,9333625.0,8136849.0,4044297.0,5260902.0,5059595.0,1578546.0,347278.0,138748.0,51355.0,39196.0,06-06037-20190220
County,2019-02-21,6.0,CA,6037.0,Los Angeles County,1994114.0,8080516.0,34054525.0,9402660.0,8286129.0,4023457.0,5219038.0,5016631.0,1530162.0,350015.0,134337.0,51383.0,40713.0,06-06037-20190221
County,2019-02-22,6.0,CA,6037.0,Los Angeles County,1957173.0,8117457.0,34655195.0,9180381.0,8733589.0,4248055.0,5414173.0,4994871.0,1467231.0,368001.0,148377.0,58273.0,42244.0,06-06037-20190222
County,2019-02-23,6.0,CA,6037.0,Los Angeles County,2041196.0,8033434.0,34991567.0,9326556.0,8835458.0,4339513.0,5403789.0,4900927.0,1502109.0,425300.0,163876.0,55748.0,38291.0,06-06037-20190223
County,2019-02-24,6.0,CA,6037.0,Los Angeles County,2100499.0,7974131.0,31713954.0,8367269.0,8182684.0,3923806.0,4818776.0,4355646.0,1384783.0,412349.0,177051.0,52881.0,38709.0,06-06037-20190224
County,2019-02-25,6.0,CA,6037.0,Los Angeles County,2004943.0,8069687.0,32505056.0,8618953.0,7970769.0,3889546.0,5090593.0,4851061.0,1485679.0,352862.0,147442.0,54191.0,43960.0,06-06037-20190225
County,2019-02-26,6.0,CA,6037.0,Los Angeles County,1993373.0,8081257.0,32694525.0,8736278.0,8054791.0,3941401.0,5129421.0,4822656.0,1448455.0,335744.0,137387.0,48040.0,40352.0,06-06037-20190226
County,2019-02-27,6.0,CA,6037.0,Los Angeles County,2000162.0,8074468.0,34367508.0,9146707.0,8558845.0,4136207.0,5413848.0,5072850.0,1497173.0,336462.0,128398.0,41851.0,35167.0,06-06037-20190227
County,2019-02-28,6.0,CA,6037.0,Los Angeles County,1999191.0,8075439.0,34220264.0,8897337.0,8587123.0,4124683.0,5457990.0,5083601.0,1515918.0,336805.0,137854.0,41273.0,37680.0,06-06037-20190228
County,2019-03-01,6.0,CA,6037.0,Los Angeles County,1991990.0,8082640.0,33688081.0,8717310.0,8380883.0,4099995.0,5370375.0,4955944.0,1518359.0,383978.0,165255.0,52901.0,43081.0,06-06037-20190301
County,2019-03-02,6.0,CA,6037.0,Los Angeles County,2117707.0,7956923.0,33624639.0,8820655.0,8712472.0,4227847.0,5245115.0,4515525.0,1410466.0,421510.0,180127.0,50456.0,40466.0,06-06037-20190302
County,2019-03-03,6.0,CA,6037.0,Los Angeles County,2177660.0,7896970.0,31509385.0,8131970.0,8304101.0,3939091.0,4811937.0,4241089.0,1390543.0,425475.0,176301.0,47420.0,41458.0,06-06037-20190303
County,2019-03-04,6.0,CA,6037.0,Los Angeles County,2064369.0,8010261.0,33428969.0,8975681.0,8098536.0,3995272.0,5196325.0,4941487.0,1566456.0,387926.0,173660.0,48796.0,44830.0,06-06037-20190304
County,2019-03-05,6.0,CA,6037.0,Los Angeles County,2058841.0,8015789.0,32123015.0,8705191.0,7913292.0,3848470.0,4976582.0,4656021.0,1441174.0,353716.0,147247.0,43343.0,37979.0,06-06037-20190305
County,2019-03-06,6.0,CA,6037.0,Los Angeles County,2074221.0,8000409.0,31546807.0,8359643.0,8044366.0,3852893.0,4862340.0,4492566.0,1383546.0,325462.0,141933.0,43973.0,40085.0,06-06037-20190306
County,2019-03-07,6.0,CA,6037.0,Los Angeles County,1989994.0,8084636.0,33237537.0,8829990.0,8271012.0,4068751.0,5280941.0,4791895.0,1412438.0,336516.0,153962.0,46176.0,45856.0,06-06037-20190307
County,2019-03-08,6.0,CA,6037.0,Los Angeles County,2022503.0,8052127.0,36564865.0,9362472.0,9097544.0,4506349.0,5898272.0,5411340.0,1601761.0,403140.0,181546.0,52760.0,49681.0,06-06037-20190308
County,2019-03-09,6.0,CA,6037.0,Los Angeles County,2087733.0,7986897.0,36493297.0,9355689.0,9183633.0,4493255.0,5812100.0,5255265.0,1638181.0,455006.0,201813.0,53843.0,44512.0,06-06037-20190309
County,2019-03-10,6.0,CA,6037.0,Los Angeles County,2120989.0,7953641.0,34368843.0,8998760.0,8792263.0,4173700.0,5298242.0,4858769.0,1522939.0,426065.0,198400.0,57698.0,42007.0,06-06037-20190310
County,2019-03-11,6.0,CA,6037.0,Los Angeles County,2017711.0,8056919.0,37307992.0,9835868.0,9188758.0,4447017.0,5825041.0,5616584.0,1722333.0,392025.0,170334.0,58331.0,51701.0,06-06037-20190311
