,Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
293,2020-10-20,129,Ozone,Reseda,06-037-1201,AQS,6,129,0,54,87,43
294,2020-10-21,119,Ozone,Santa Clarita,06-037-6012,AQS,7,119,0,55,100,43
295,2020-10-22,71,PM2.5,Glendora,06-037-0016,AQS,6,48,0,43,71,33
296,2020-10-23,60,PM2.5,Glendora,06-037-0016,AQS,6,48,0,43,60,30
297,2020-10-24,55,PM2.5,Glendora,06-037-0016,AQS,5,38,0,35,55,32
298,2020-10-25,42,PM10,Lancaster-Division Street,06-037-9033,AQS,5,39,0,42,37,25
299,2020-10-26,108,PM10,Glendora,06-037-0016,AQS,14,50,1,108,89,74
300,2020-10-27,154,PM2.5,Long Beach (South),06-037-4004,AQS,19,97,3,71,154,87
301,2020-10-28,96,PM2.5,Long Beach (South),06-037-4004,AQS,14,90,1,50,96,65
302,2020-10-29,97,Ozone,West Los Angeles,06-037-0113,AQS,18,97,1,38,91,85
303,2020-10-30,79,PM2.5,Compton,06-037-1302,AQS,20,67,1,62,79,66
304,2020-10-31,93,Ozone,Los Angeles-North Main Street,06-037-1103,AQS,15,93,4,36,87,58
305,2020-11-01,87,Ozone,Los Angeles-North Main Street,06-037-1103,AQS,14,87,0,37,77,54
306,2020-11-02,84,Ozone,Reseda,06-037-1201,AQS,15,84,1,45,77,50
307,2020-11-03,114,PM2.5,Compton,06-037-1302,AQS,10,90,0,42,114,56
308,2020-11-04,94,PM2.5,Long Beach (South),06-037-4004,AQS,20,87,0,59,94,70
309,2020-11-05,76,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,22,36,0,55,76,60
310,2020-11-06,60,PM10,Lancaster-Division Street,06-037-9033,AQS,17,43,0,60,56,42
311,2020-11-07,44,Ozone,Reseda,06-037-1201,AQS,5,44,0,14,39,24
312,2020-11-08,51,PM2.5,Pico Rivera #2,06-037-1602,AQS,7,42,0,16,51,26
313,2020-11-09,52,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,10,40,0,14,52,35
314,2020-11-10,58,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,15,40,0,20,58,40
315,2020-11-11,67,PM2.5,Compton,06-037-1302,AQS,17,40,1,29,67,44
316,2020-11-12,81,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,20,50,1,31,81,53
317,2020-11-13,75,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,15,44,3,32,75,49
318,2020-11-14,78,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,13,46,3,26,78,42
319,2020-11-15,85,PM2.5,Compton,06-037-1302,AQS,27,46,4,23,85,42
320,2020-11-16,62,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,19,44,3,31,55,62
321,2020-11-17,63,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,23,44,1,42,63,54
322,2020-11-18,64,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,14,36,1,29,64,47
323,2020-11-19,60,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,9,40,0,22,60,39
324,2020-11-20,87,PM2.5,Pico Rivera #2,06-037-1602,AQS,17,41,0,34,87,65
325,2020-11-21,95,PM2.5,Compton,06-037-1302,AQS,23,41,3,30,95,51
326,2020-11-22,103,PM2.5,Compton,06-037-1302,AQS,28,49,3,24,103,41
327,2020-11-23,85,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,14,39,0,43,85,37
328,2020-11-24,74,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,11,43,0,32,74,55
329,2020-11-25,78,PM2.5,Compton,06-037-1302,AQS,18,47,1,38,78,61
330,2020-11-26,82,PM2.5,Compton,06-037-1302,AQS,17,46,4,33,82,38
331,2020-11-27,84,PM2.5,Compton,06-037-1302,AQS,20,38,3,34,84,49
332,2020-11-28,66,PM2.5,Compton,06-037-1302,AQS,22,39,1,28,66,42
333,2020-11-29,66,PM2.5,Long Beach (South),06-037-4004,AQS,24,42,1,37,66,39
334,2020-11-30,79,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,23,38,4,33,71,79
335,2020-12-01,81,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,26,38,3,35,81,74
336,2020-12-02,93,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,25,46,3,30,93,72
337,2020-12-03,109,PM2.5,Long Beach (South),06-037-4004,AQS,27,44,0,29,109,85
338,2020-12-04,71,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,27,42,1,38,70,71
339,2020-12-05,108,PM2.5,Compton,06-037-1302,AQS,31,39,1,42,108,68
340,2020-12-06,109,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,26,44,0,44,109,48
341,2020-12-07,93,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,27,43,3,42,93,81
342,2020-12-08,85,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,28,42,1,33,60,85
343,2020-12-09,67,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,20,40,3,49,64,67
344,2020-12-10,68,PM2.5,Compton,06-037-1302,AQS,13,38,0,44,68,50
345,2020-12-11,81,PM2.5,Compton,06-037-1302,AQS,19,41,0,36,81,50
346,2020-12-12,96,PM2.5,Compton,06-037-1302,AQS,24,39,0,37,96,36
347,2020-12-13,73,PM2.5,Long Beach (South),06-037-4004,AQS,19,44,0,25,73,33
348,2020-12-14,46,PM2.5,Pico Rivera #2,06-037-1602,AQS,8,39,0,23,46,46
349,2020-12-15,86,PM2.5,Compton,06-037-1302,AQS,16,40,0,25,86,60
350,2020-12-16,68,PM2.5,Long Beach (South),06-037-4004,AQS,19,35,0,34,68,65
351,2020-12-17,76,PM2.5,Compton,06-037-1302,AQS,24,40,4,39,76,53
352,2020-12-18,89,PM2.5,Compton,06-037-1302,AQS,23,41,0,22,89,51
353,2020-12-19,82,PM2.5,Compton,06-037-1302,AQS,32,38,0,28,82,48
354,2020-12-20,83,PM2.5,Compton,06-037-1302,AQS,23,43,1,31,83,46
355,2020-12-21,61,PM2.5,Compton,06-037-1302,AQS,30,39,1,45,61,60
356,2020-12-22,74,PM2.5,Compton,06-037-1302,AQS,18,36,3,25,74,49
357,2020-12-23,94,PM2.5,Compton,06-037-1302,AQS,20,43,3,47,94,71
358,2020-12-24,67,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,18,39,0,28,67,53
359,2020-12-25,76,PM2.5,Compton,06-037-1302,AQS,15,43,1,21,76,36
360,2020-12-26,116,PM2.5,Compton,06-037-1302,AQS,28,42,1,17,116,37
361,2020-12-27,67,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,10,36,0,21,67,25
362,2020-12-28,51,PM2.5,Compton,06-037-1302,AQS,6,34,0,8,51,41
363,2020-12-29,64,PM2.5,Compton,06-037-1302,AQS,20,39,1,17,64,51
364,2020-12-30,76,PM2.5,Compton,06-037-1302,AQS,25,42,1,18,76,57
365,12/31/2020,120,PM2.5,Compton,06-037-1302,AQS,28,37,0,14,120,54
